custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,train,favday,city
QPRVDD,1,09/11/10,12/05/11,21/10/13,174,96.55172414,12.64367816,94.5,0.047032475,1,1,0,0,Friday,CHO
HUBE83,1,01/02/11,01/02/11,27/10/13,49,20.40816327,2.040816327,43.21,0.016016016,0,0,0,0,Monday,CHO
GW8AUL,1,24/09/10,05/05/11,19/01/14,51,64.70588235,25.49019608,81.15,0.151515152,1,0,0,0,Monday,RIC
WYSPZ7,0,06/09/10,22/03/11,14/01/14,9,44.44444444,0,213.52,0.150631681,1,1,0,0,Wednesday,CHO
ZLK255,0,22/08/10,06/09/11,06/09/11,0,0,0,146.98,0,0,0,0,0,Tuesday,CHO
FUCUZ2,1,29/03/10,17/05/10,09/01/12,46,8.695652174,4.347826087,83.17,0.006644518,1,0,0,0,Monday,CHO
WP4AGL,0,05/11/09,06/11/09,06/11/09,0,0,0,19.44,0,0,0,0,0,Friday,CHO
B64VK7,0,26/06/09,19/08/09,26/08/09,0,0,0,21.3,0.285714286,0,0,0,0,Thursday,CHO
FQHGUT,1,10/09/10,13/12/10,05/03/12,46,2.173913043,0,110.04,0.040178571,0,0,0,0,Monday,RIC
3PZ4VY,1,29/04/11,29/04/11,19/11/13,40,5,5,99.13,0.002139037,0,0,0,0,Thursday,CHO
Z4Y7TL,0,12/09/10,15/11/11,27/02/12,0,0,0,79.86,0.038461538,1,0,0,0,Wednesday,CHO
EC9F6X,1,14/05/10,27/07/10,27/07/10,39,0,0,49.29,0,0,0,0,0,Friday,CHO
5LQBRS,1,26/08/09,26/08/09,26/08/09,45,15.55555556,0,21.14,0,0,0,0,0,Thursday,CHO
HW5JYT,1,22/04/11,20/06/11,29/07/13,47,12.76595745,2.127659574,66.27,0.006493506,0,0,0,0,Tuesday,CHO
GED7CZ,0,28/01/11,31/01/11,31/01/11,0,0,0,218.86,0,0,0,0,0,Monday,RIC
2HNWMF,0,18/11/10,07/12/10,30/06/11,0,0,0,72.34,0.029268293,0,0,0,0,Thursday,CHO
GE9MH2,1,21/12/09,01/11/11,16/01/14,49,12.24489796,4.081632653,57.83,0.002478315,0,0,0,0,Wednesday,CHO
N8SZJ,1,12/04/11,16/04/11,24/11/13,54,9.259259259,1.851851852,47.22,0.023084995,0,0,0,0,Monday,RIC
EMZJM9,1,26/01/11,23/05/11,20/06/11,16,0,0,66.96,0.071428571,0,0,0,0,Tuesday,CHO
3GMX2Q,1,07/12/09,29/11/11,07/12/11,42,30.95238095,7.142857143,134.22,0.875,0,0,0,0,Wednesday,CHO
QGWUC6,0,21/10/08,21/05/10,21/05/10,0,0,0,44.95,0,0,0,0,0,Monday,CHO
5S7M94,1,03/01/10,11/01/10,04/05/11,47,6.382978723,0,93.04,0.018828452,0,0,0,0,Monday,CHO
V46DVT,0,19/10/10,25/10/10,18/01/14,16,6.25,0,106.87,0.0042337,1,0,0,0,Monday,CHO
NRBENY,1,20/04/09,21/05/09,21/05/09,35,2.857142857,0,90.3,0,0,0,0,0,Friday,CHO
U3QMZX,1,10/05/10,14/10/13,14/10/13,33,6.060606061,3.03030303,72.64,0,1,0,0,0,Wednesday,CHO
HFJZVG,1,18/02/11,05/05/11,12/11/12,42,23.80952381,4.761904762,79.26,0.021543986,0,0,0,0,Friday,CHO
PPNKAB,1,05/05/10,05/05/10,16/02/12,43,30.23255814,20.93023256,47.24,0.007668712,0,0,0,0,Thursday,CHO
PUS9BA,0,17/12/10,08/03/11,08/03/11,0,0,0,96.59,0,0,0,0,0,Tuesday,RIC
4ZJEGC,1,22/01/11,23/02/11,01/09/11,44,2.272727273,0,60.52,0.026315789,0,0,0,0,Wednesday,CHO
EK2D8G,1,16/11/09,10/01/11,10/09/12,45,17.77777778,0,69.23,0.060755337,0,0,0,0,Tuesday,CHO
UR6NKR,0,23/05/10,23/05/10,23/05/11,2,50,0,77.8,0.01369863,0,0,0,0,Monday,CHO
8QWHUD,1,21/02/11,21/02/11,31/03/11,40,27.5,2.5,53.5,0.078947368,0,0,0,0,Thursday,CHO
HZZBHF,1,28/03/11,25/07/11,01/12/13,51,13.7254902,5.882352941,131.24,0.004651163,0,0,0,0,Tuesday,CHO
HGZUR2,1,21/04/10,11/10/10,11/10/10,47,0,0,46.08,0,0,0,0,0,Tuesday,DCX
3Z2MAQ,1,30/09/09,14/10/09,12/11/09,40,40,7.5,80.06,0.172413793,0,0,0,0,Thursday,CHO
QKL28A,0,09/07/10,11/01/11,10/08/12,0,0,0,66.53,0.136915078,1,0,0,0,Friday,RIC
Z7YGH2,1,20/03/11,22/03/12,05/03/13,47,0,0,82.94,0.011494253,0,0,0,0,Tuesday,RIC
WGGVVJ,1,18/04/09,15/03/11,04/01/14,42,57.14285714,2.380952381,105.68,0.063352827,0,0,0,0,Wednesday,CHO
A94C3F,0,17/04/09,17/04/09,17/04/09,0,0,0,24.42,0,0,0,0,0,Friday,CHO
B8T676,1,03/12/10,06/12/10,06/12/10,45,0,0,80,0,0,0,0,0,Tuesday,CHO
878L58,0,02/05/10,02/05/10,01/10/12,0,0,0,50.06,0.011325028,0,0,0,0,Monday,CHO
4UXX6L,0,27/05/09,27/05/09,27/05/09,0,0,0,45.7,0,0,0,0,0,Thursday,CHO
W9A2TB,1,28/08/10,29/08/10,14/04/13,46,6.52173913,0,91.67,0.006256517,0,0,0,0,Monday,CHO
HHVUSX,1,22/03/11,27/04/11,03/12/13,48,18.75,8.333333333,122.69,0.044164038,1,0,0,0,Thursday,RIC
X9QZMN,0,15/01/11,04/02/11,24/03/11,0,0,0,53.97,0.0625,0,0,0,0,Friday,RIC
M2AAV7,1,01/09/10,28/10/10,23/02/11,46,4.347826087,0,119.81,0.076271186,0,0,0,0,Thursday,CHO
NMT966,0,15/11/09,15/11/09,15/11/09,0,0,0,22.84,0,0,0,0,0,Monday,CHO
GMRWFW,0,30/08/10,07/09/10,16/09/10,5,0,0,31.89,0.333333333,0,0,0,0,Thursday,CHO
DFULJF,1,25/08/10,12/11/10,22/06/12,48,8.333333333,0,49.51,0.013605442,0,0,0,0,Friday,RIC
MQJ7VE,1,17/06/09,17/06/09,10/03/10,16,0,0,45.82,0.011278195,0,0,0,0,Thursday,CHO
DSMQXM,0,20/04/09,01/07/10,01/07/10,0,0,0,68.79,0,0,0,0,0,Friday,CHO
CSXWB2,1,22/06/10,20/03/11,24/04/11,18,0,0,75.31,0.114285714,0,0,0,0,Monday,CHO
WKVUNG,0,12/12/10,30/11/13,30/11/13,0,0,0,53.49,0,0,0,0,0,Tuesday,CHO
BTEYSU,0,17/11/10,25/06/11,05/09/11,0,0,0,160.47,0.027777778,0,0,0,0,Monday,RIC
L8BAE8,0,06/03/11,25/05/11,03/04/12,0,0,0,75.76,0.063694268,0,0,0,0,Friday,RIC
XR3V3V,1,28/04/11,07/06/11,07/06/11,44,9.090909091,2.272727273,56.02,0,0,0,0,0,Thursday,CHO
ULM9PE,0,10/03/11,25/03/11,25/03/11,0,0,0,59.13,0,0,0,0,0,Friday,CHO
MD4VKM,0,14/02/11,05/04/11,14/11/11,18,77.77777778,0,119.41,0.031390135,0,0,0,0,Tuesday,RIC
3GDS4G,1,27/09/10,10/03/11,29/11/11,18,0,0,76.25,0.151515152,0,0,0,0,Wednesday,CHO
4Z4PKU,1,17/09/09,18/08/10,23/09/10,38,36.84210526,0,30.25,0.055555556,0,0,0,0,Thursday,CHO
2UFWRC,1,15/04/10,29/06/10,29/06/10,18,0,0,73.89,0,0,0,0,0,Wednesday,CHO
N8GQC9,1,09/06/10,09/06/10,23/06/10,32,84.375,0,53.21,0.142857143,0,0,0,0,Wednesday,CHO
MYAMTB,1,14/10/10,10/07/13,22/10/13,49,2.040816327,2.040816327,68.69,0.019230769,0,1,0,0,Thursday,CHO
